n,Theory_Cauchy,Experiment_Cauchy,Thoery_Gaussian
-5,0.00122427,0.00131,1.48672e-07
-4.9,0.00127273,0.00138,2.43896e-07
-4.8,0.00132408,0.00132,3.9613e-07
-4.7,0.00137856,0.00179,6.36983e-07
-4.6,0.00143642,0.00152,1.01409e-06
-4.5,0.00149793,0.00157,1.59837e-06
-4.4,0.00156341,0.00124,2.49425e-06
-4.3,0.0016332,0.00162,3.85352e-06
-4.2,0.00170767,0.00151,5.89431e-06
-4.1,0.00178725,0.0016,8.92617e-06
-4,0.00187241,0.00189,1.3383e-05
-3.9,0.00196366,0.0021,1.98655e-05
-3.8,0.00206159,0.00212,2.91947e-05
-3.7,0.00216685,0.00208,4.2478e-05
-3.6,0.00228016,0.00219,6.11902e-05
-3.5,0.00240234,0.00237,8.72683e-05
-3.4,0.00253431,0.00264,0.000123222
-3.3,0.00267712,0.00269,0.000172257
-3.2,0.00283194,0.0025,0.000238409
-3.1,0.00300009,0.00291,0.000326682
-3,0.0031831,0.00291,0.000443185
-2.9,0.00338268,0.0033,0.000595253
-2.8,0.00360079,0.0034,0.000791545
-2.7,0.00383968,0.00383,0.00104209
-2.6,0.00410193,0.00427,0.0013583
-2.5,0.00439048,0.00443,0.00175283
-2.4,0.00470873,0.00471,0.00223945
-2.3,0.00506057,0.00504,0.0028327
-2.2,0.00545051,0.00491,0.00354746
-2.1,0.00588373,0.00605,0.00439836
-2,0.0063662,0.00591,0.0053991
-1.9,0.00690477,0.00699,0.00656158
-1.8,0.00750731,0.00691,0.00789502
-1.7,0.00818277,0.0077,0.00940491
-1.6,0.00894129,0.00864,0.0110921
-1.5,0.00979415,0.00882,0.0129518
-1.4,0.0107537,0.01025,0.0149727
-1.3,0.0118331,0.01131,0.0171369
-1.2,0.0130455,0.01274,0.0194186
-1.1,0.0144032,0.01413,0.0217852
-1,0.0159155,0.01572,0.0241971
-0.9,0.0175862,0.01645,0.0266085
-0.8,0.0194091,0.01888,0.0289692
-0.7,0.0213631,0.01983,0.0312254
-0.6,0.0234051,0.02163,0.0333225
-0.5,0.0254648,0.02407,0.0352065
-0.4,0.0274405,0.02649,0.036827
-0.3,0.0292027,0.02856,0.0381388
-0.2,0.0306067,0.0294,0.0391043
-0.1,0.0315158,0.03099,0.0396953
0,0.031831,0.03156,0.0398942
0.1,0.0315158,0.03133,0.0396953
0.2,0.0306067,0.03149,0.0391043
0.3,0.0292027,0.02974,0.0381388
0.4,0.0274405,0.02909,0.036827
0.5,0.0254648,0.0263,0.0352065
0.6,0.0234051,0.02439,0.0333225
0.7,0.0213631,0.02192,0.0312254
0.8,0.0194091,0.02051,0.0289692
0.9,0.0175862,0.01861,0.0266085
1,0.0159155,0.01661,0.0241971
1.1,0.0144032,0.01524,0.0217852
1.2,0.0130455,0.01301,0.0194186
1.3,0.0118331,0.01234,0.0171369
1.4,0.0107537,0.01142,0.0149727
1.5,0.00979415,0.01004,0.0129518
1.6,0.00894129,0.00928,0.0110921
1.7,0.00818277,0.00849,0.00940491
1.8,0.00750731,0.0083,0.00789502
1.9,0.00690477,0.00729,0.00656158
2,0.0063662,0.00661,0.0053991
2.1,0.00588373,0.00593,0.00439836
2.2,0.00545051,0.00533,0.00354746
2.3,0.00506057,0.00576,0.0028327
2.4,0.00470873,0.00526,0.00223945
2.5,0.00439048,0.00431,0.00175283
2.6,0.00410193,0.00414,0.0013583
2.7,0.00383968,0.00394,0.00104209
2.8,0.00360079,0.00359,0.000791545
2.9,0.00338268,0.00363,0.000595253
3,0.0031831,0.00346,0.000443185
3.1,0.00300009,0.00312,0.000326682
3.2,0.00283194,0.00299,0.000238409
3.3,0.00267712,0.00272,0.000172257
3.4,0.00253431,0.00258,0.000123222
3.5,0.00240234,0.00261,8.72683e-05
3.6,0.00228016,0.00261,6.11902e-05
3.7,0.00216685,0.00248,4.2478e-05
3.8,0.00206159,0.00213,2.91947e-05
3.9,0.00196366,0.00189,1.98655e-05
4,0.00187241,0.0019,1.3383e-05
4.1,0.00178725,0.00205,8.92617e-06
4.2,0.00170767,0.00183,5.89431e-06
4.3,0.0016332,0.00163,3.85352e-06
4.4,0.00156341,0.00144,2.49425e-06
4.5,0.00149793,0.0014,1.59837e-06
4.6,0.00143642,0.00144,1.01409e-06
4.7,0.00137856,0.00138,6.36983e-07
4.8,0.00132408,0.00124,3.9613e-07
4.9,0.00127273,0.00122,2.43896e-07
5,0.00122427,0.00127,1.48672e-07
